concentration,day,dcw_g_per_l,mean_L_bottom,std_L_bottom,dark_pixel_fraction,vertical_centroid,laplacian_variance,blob_count,mean_blob_area,blob_size_std,sediment_height_ratio,sediment_area_fraction
1.2,3,2.4,99.47,48.109,0.55,0.415,20.758,26,6362.25,31163.871,0.797,0.57
1.2,3,2.4,134.473,60.015,0.486,0.491,10.515,41,5158.232,31850.788,0.998,0.436
1.2,3,2.4,96.155,51.538,0.468,0.439,24.494,9,25928.222,45418.369,0.781,0.374
1.2,3,2.4,133.355,33.068,0.488,0.491,1.655,1,190542.5,0.0,0.998,0.487
1.2,3,2.4,122.094,42.572,0.63,0.558,9.188,8,5762.062,14777.133,0.998,0.872
1.2,3,2.4,155.07,55.749,0.496,0.523,7.65,63,3026.54,16928.336,0.998,0.491
1.2,3,2.4,117.508,28.239,0.406,0.475,4.051,61,4460.5,31958.692,0.65,0.279
1.2,3,2.4,117.753,41.24,0.414,0.448,4.764,31,8263.774,42695.174,0.699,0.321
1.2,3,2.4,100.608,45.684,0.497,0.436,6.882,1,305103.5,0.0,0.797,0.24
1.2,3,2.4,103.853,51.439,0.448,0.499,7.488,2,129135.25,129088.25,0.986,0.316
1.2,3,2.4,128.797,40.274,0.278,0.498,1.426,3,101866.667,77703.887,0.0,0.177
1.2,3,2.4,96.835,49.593,0.448,0.427,12.493,58,3864.259,23401.143,0.609,0.411
1.2,6,6.11,102.055,35.82,0.39,0.429,26.39,5,59567.7,119077.4,0.762,0.247
1.2,6,6.11,162.287,21.843,0.408,0.497,4.072,5,59230.3,79446.24,0.052,0.2
1.2,6,6.11,134.824,28.714,0.59,0.546,6.799,43,2898.244,17478.846,0.818,0.67
1.2,6,6.11,171.526,47.491,0.436,0.559,4.608,3,73884.0,104119.808,0.404,0.422
1.2,6,6.11,136.598,19.753,0.454,0.512,9.899,5,68147.9,136153.552,0.264,0.137
1.2,6,6.11,124.331,21.382,0.541,0.516,5.269,20,8001.95,34105.619,0.998,0.578
1.2,6,6.11,136.682,10.085,0.555,0.495,4.281,71,1998.859,15721.598,0.998,0.616
1.2,6,6.11,157.767,29.03,0.493,0.505,4.857,18,10449.361,42899.499,0.998,0.493
1.2,6,6.11,171.158,38.829,0.504,0.513,9.069,26,7124.019,35072.497,0.998,0.504
1.2,6,6.11,162.213,27.057,0.521,0.528,2.657,24,7352.167,27019.976,0.635,0.535
1.2,6,6.11,148.933,48.2,0.625,0.494,5.65,2,52238.5,49431.0,0.998,0.717
1.2,6,6.11,160.549,21.563,0.406,0.496,3.212,6,48944.583,72496.256,0.964,0.205
2.2,3,3.5,122.951,46.427,0.553,0.453,4.775,19,7141.132,28845.912,0.998,0.638
2.2,3,3.5,136.227,55.108,0.406,0.415,4.346,1,316010.0,0.0,0.205,0.156
2.2,3,3.5,57.628,37.077,0.766,0.417,1.047,4,15456.25,15189.633,0.895,0.831
2.2,3,3.5,115.317,49.617,0.561,0.434,3.187,13,11005.731,37138.598,0.998,0.62
2.2,3,3.5,118.512,49.53,0.432,0.515,2.133,7,30581.714,74076.56,0.997,0.423
2.2,3,3.5,168.322,50.732,0.68,0.554,4.769,9,10761.222,29392.508,0.812,0.736
2.2,3,3.5,119.746,49.454,0.426,0.514,1.83,6,36100.25,79947.481,0.997,0.416
2.2,3,3.5,113.41,65.513,0.417,0.392,2.29,8,30118.562,79286.131,0.322,0.356
2.2,3,3.5,93.15,21.093,0.467,0.495,1.128,6,36117.75,61344.988,0.943,0.413
2.2,3,3.5,125.838,59.511,0.469,0.43,1.655,2,106757.75,106634.25,0.998,0.427
2.2,3,3.5,95.716,43.979,0.405,0.423,3.032,2,119961.25,117275.25,0.488,0.353
2.2,6,8.09,99.401,37.539,0.534,0.445,44.265,19,8315.079,25166.695,0.785,0.573
2.2,6,8.09,157.109,38.892,0.377,0.551,10.389,14,16871.893,58415.045,0.578,0.359
2.2,6,8.09,145.098,31.044,0.427,0.547,5.939,21,11204.833,47906.793,0.479,0.364
2.2,6,8.09,92.08,36.974,0.434,0.506,13.264,1,355159.5,0.0,0.383,0.28
2.2,6,8.09,114.797,42.982,0.525,0.446,65.924,18,6712.528,23254.453,0.738,0.671
2.2,6,8.09,83.112,46.824,0.563,0.425,20.239,11,13889.591,43430.255,0.816,0.593
2.2,6,8.09,147.173,77.944,0.542,0.529,5.577,4,34171.625,42534.64,0.997,0.544
2.2,6,8.09,114.859,41.971,0.406,0.472,51.48,20,13290.75,57701.012,0.361,0.285
2.2,6,8.09,112.021,17.2,0.505,0.502,3.655,56,3439.518,16815.857,0.998,0.481
2.2,6,8.09,86.89,43.193,0.485,0.386,94.271,34,5672.074,31937.353,0.641,0.477
2.2,6,8.09,179.403,39.134,0.471,0.555,5.728,21,9794.667,42140.593,0.505,0.443
3.2,3,2.9,168.322,50.732,0.68,0.554,4.769,9,10761.222,29392.508,0.812,0.736
3.2,3,2.9,119.518,49.621,0.425,0.514,2.049,6,36277.583,80299.052,0.997,0.413
3.2,3,2.9,93.15,21.093,0.467,0.495,1.128,6,36117.75,61344.988,0.943,0.413
3.2,3,2.9,77.262,46.165,0.481,0.419,3.127,3,64816.0,90197.481,0.717,0.476
3.2,3,2.9,57.628,37.077,0.766,0.417,1.047,4,15456.25,15189.633,0.895,0.831
3.2,3,2.9,110.159,53.567,0.565,0.535,3.752,2,72419.5,26084.5,0.917,0.608
